Chief Executives|200480|213020|179520
General and Operations Managers|2984920|115250|97970
Legislators|44590|57110|37270
Advertising and Promotions Managers|22520|142860|127150
Marketing Managers|278690|153440|135030
Sales Managers|453800|142390|127490
Public Relations Managers|59850|138000|125780
Fundraising Managers|23190|119400|100810
Administrative Services Managers|224620|113030|100170
Facilities Managers|101230|101970|97930
Computer and Information Systems Managers|485190|162930|159010
Financial Managers|681070|153460|131710
Industrial Production Managers|192270|117780|103150
Purchasing Managers|69310|134590|127150
Transportation, Storage, and Distribution Managers|144640|105580|98230
Compensation and Benefits Managers|15330|139470|127530
Human Resources Managers|166530|136590|126230
Training and Development Managers|35830|128800|120130
Farmers, Ranchers, and Other Agricultural Managers|5220|78440|73060
Construction Managers|284750|108210|98890
Education and Childcare Administrators, Preschool and Daycare|56430|53800|47310
Education Administrators, Kindergarten through Secondary|274710|102650|98420
Education Administrators, Postsecondary|155990|111260|96910
Education Administrators, All Other|49970|94730|90560
Architectural and Engineering Managers|187100|158970|152350
Food Service Managers|210680|63970|59440
Gambling Managers|3660|89190|76910
Entertainment and Recreation Managers, Except Gambling|17800|73810|62000
Lodging Managers|35920|67770|59430
Medical and Health Services Managers|436770|119840|101340
Natural Sciences Managers|74760|156110|137900
Postmasters and Mail Superintendents|12750|81820|80250
Property, Real Estate, and Community Association Managers|234680|70030|59230
Social and Community Service Managers|156400|76790|74000
Emergency Management Directors|10320|84800|76730
Funeral Home Managers|12710|82900|74000
Personal Service Managers, All Other|7350|59580|60360
Managers, All Other|497890|129710|124650
Agents and Business Managers of Artists, Performers, and Athletes|12480|116410|78410
Buyers and Purchasing Agents|439020|72540|63470
Claims Adjusters, Examiners, and Investigators|278140|70960|65080
Insurance Appraisers, Auto Damage|11430|68180|62680
Compliance Officers|334340|75810|71650
Cost Estimators|208950|73740|65170
Human Resources Specialists|740830|70720|62290
Farm Labor Contractors|440|54400|47770
Labor Relations Specialists|63810|77070|77010
Logisticians|189320|79230|77030
Project Management Specialists|743860|98420|94500
Management Analysts|768450|100530|93000
Meeting, Convention, and Event Planners|98150|57850|49470
Fundraisers|82080|64870|60660
Compensation, Benefits, and Job Analysis Specialists|87750|73810|64120
Training and Development Specialists|336030|67620|61570
Market Research Analysts and Marketing Specialists|727540|76080|63920
Business Operations Specialists, All Other|1030330|79240|74670
Accountants and Auditors|1318550|83980|77250
Property Appraisers and Assessors|58340|70050|61340
Budget Analysts|47440|84240|79940
Credit Analysts|68770|88030|77440
Financial and Investment Analysts|291880|103020|91580
Personal Financial Advisors|263030|119960|94170
Insurance Underwriters|107690|79940|76390
Financial Risk Specialists|54320|110610|100000
Financial Examiners|60750|96180|81410
Credit Counselors|31230|50430|47580
Loan Officers|340170|80570|63380
Tax Examiners and Collectors, and Revenue Agents|52270|63200|56780
Tax Preparers|83190|51080|46290
Financial Specialists, All Other|123200|80370|73240
Computer Systems Analysts|505150|102210|99270
Information Security Analysts|157220|113270|102600
Computer and Information Research Scientists|30840|142650|131490
Computer Network Support Specialists|176200|71350|62760
Computer User Support Specialists|654310|57650|49770
Computer Network Architects|168830|120650|120520
Database Administrators|85870|96550|96710
Database Architects|50440|121840|123430
Network and Computer Systems Administrators|316760|91250|80600
Computer Programmers|152610|96650|93000
Software Developers|1364180|120990|120730
Software Quality Assurance Analysts and Testers|190120|97710|98220
Web Developers|84820|81320|77030
Web and Digital Interface Designers|82380|95460|79890
Computer Occupations, All Other|370190|98180|95270
Actuaries|23040|125300|105900
Mathematicians|1770|112430|108100
Operations Research Analysts|98700|95830|82360
Statisticians|31370|99450|95570
Data Scientists|105980|108660|100910
Mathematical Science Occupations, All Other|3970|77960|62460
Architects, Except Landscape and Naval|100400|91900|80180
Landscape Architects|17430|74980|67950
Cartographers and Photogrammetrists|12610|73510|68900
Surveyors|46390|68880|61600
Aerospace Engineers|56640|122970|122270
Agricultural Engineers|1120|87350|82640
Bioengineers and Biomedical Engineers|17190|101020|97410
Chemical Engineers|24180|121840|105550
Civil Engineers|304310|95490|88050
Computer Hardware Engineers|73750|136230|128170
Electrical Engineers|186020|107890|100420
Electronics Engineers, Except Computer|107170|115490|104820
Environmental Engineers|42660|100220|96820
Health and Safety Engineers, Except Mining Safety Engineers and Inspectors|22870|99700|99040
Industrial Engineers|293950|95200|95300
Marine Engineers and Naval Architects|7380|97820|93370
Materials Engineers|21530|101950|98300
Mechanical Engineers|278240|97000|95300
Mining and Geological Engineers, Including Mining Safety Engineers|7370|100450|97090
Nuclear Engineers|12670|121760|120380
Petroleum Engineers|22100|145720|130850
Engineers, All Other|151940|107800|100640
Architectural and Civil Drafters|101310|60620|60340
Electrical and Electronics Drafters|20830|67090|61510
Mechanical Drafters|47760|62650|60200
Drafters, All Other|15300|58330|54240
Aerospace Engineering and Operations Technologists and Technicians|10900|73510|73580
Civil Engineering Technologists and Technicians|64170|58000|58320
Electrical and Electronic Engineering Technologists and Technicians|101450|69070|63640
Electro-Mechanical and Mechatronics Technologists and Technicians|11590|63880|60360
Environmental Engineering Technologists and Technicians|14910|56590|48390
Industrial Engineering Technologists and Technicians|62030|61230|60220
Mechanical Engineering Technologists and Technicians|40180|63390|60460
Calibration Technologists and Technicians|8500|62800|60340
Engineering Technologists and Technicians, Except Drafters, All Other|73600|68290|61950
Surveying and Mapping Technicians|56070|49810|46910
Animal Scientists|2790|80390|65090
Food Scientists and Technologists|13510|84150|78340
Soil and Plant Scientists|15610|76290|66750
Biochemists and Biophysicists|35050|113460|102270
Microbiologists|19430|87820|79260
Zoologists and Wildlife Biologists|15930|70300|64650
Biological Scientists, All Other|47050|90010|82530
Conservation Scientists|22550|68230|63750
Foresters|9500|67710|64110
Epidemiologists|8180|86740|78830
Medical Scientists, Except Epidemiologists|108550|104050|95310
Life Scientists, All Other|6820|94430|81500
Astronomers|1930|139410|128160
Physicists|20020|151580|152430
Atmospheric and Space Scientists|8520|96880|94570
Chemists|80600|89130|79430
Materials Scientists|6690|104790|100090
Environmental Scientists and Specialists, Including Health|76890|81240|76530
Geoscientists, Except Hydrologists and Geographers|23620|103550|83680
Hydrologists|6390|94780|84030
Physical Scientists, All Other|19680|113220|104100
Economists|15640|120830|105630
Survey Researchers|8850|64690|59740
Industrial-Organizational Psychologists|610|113320|105310
Clinical and Counseling Psychologists|58100|99640|82510
School Psychologists|57110|82770|78780
Psychologists, All Other|13800|98010|102900
Sociologists|2640|96260|92910
Urban and Regional Planners|38940|81310|78500
Anthropologists and Archeologists|6650|66800|61910
Geographers|1440|86740|85220
Historians|2910|72130|63940
Political Scientists|5650|120430|122510
Social Scientists and Related Workers, All Other|34330|90900|84430
Agricultural Technicians|13560|44850|40430
Food Science Technicians|11530|47870|46590
Biological Technicians|76150|51770|48140
Chemical Technicians|57690|55040|48990
Environmental Science and Protection Technicians, Including Health|34110|50550|47370
Geological Technicians, Except Hydrologic Technicians|9210|59080|48310
Hydrologic Technicians|3550|71760|62280
Nuclear Technicians|5360|95200|99340
Social Science Research Assistants|28690|56430|49720
Forest and Conservation Technicians|30440|43420|39290
Forensic Science Technicians|17020|66850|61930
Life, Physical, and Social Science Technicians, All Other|62230|55420|49030
Occupational Health and Safety Specialists|106340|78740|77560
Occupational Health and Safety Technicians|21750|57560|51120
Educational, Guidance, and Career Counselors and Advisors|296370|63090|60510
Marriage and Family Therapists|54800|59660|49880
Rehabilitation Counselors|90310|44740|38560
Substance Abuse, Behavioral Disorder, and Mental Health Counselors|310880|53490|48520
Counselors, All Other|29480|49730|45160
Child, Family, and School Social Workers|340050|54880|49150
Healthcare Social Workers|173860|62310|60840
Mental Health and Substance Abuse Social Workers|113810|57800|49130
Social Workers, All Other|49730|63010|61190
Health Education Specialists|55830|64930|60600
Probation Officers and Correctional Treatment Specialists|92140|63290|60250
Social and Human Service Assistants|398380|40460|37610
Community Health Workers|61010|47780|46590
Community and Social Service Specialists, All Other|90770|50510|47390
Clergy|50790|57230|49720
Directors, Religious Activities and Education|21000|52880|46980
Religious Workers, All Other|10490|43290|37500
Lawyers|681010|148030|127990
Judicial Law Clerks|14800|62730|50750
Administrative Law Judges, Adjudicators, and Hearing Officers|13840|104160|102550
Arbitrators, Mediators, and Conciliators|7320|62350|49410
Judges, Magistrate Judges, and Magistrates|27790|142520|148030
Paralegals and Legal Assistants|336250|58330|56230
Title Examiners, Abstractors, and Searchers|51040|52390|47310
Legal Support Workers, All Other|46090|73000|59790
Business Teachers, Postsecondary|79640|105720|94360
Computer Science Teachers, Postsecondary|37600|89610|77910
Mathematical Science Teachers, Postsecondary|44140|87980|77580
Architecture Teachers, Postsecondary|5950|98600|95160
Engineering Teachers, Postsecondary|35440|115590|104940
Agricultural Sciences Teachers, Postsecondary|8570|97520|95910
Biological Science Teachers, Postsecondary|47690|98710|81440
Forestry and Conservation Science Teachers, Postsecondary|1180|93510|82330
Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary|10250|102840|98070
Chemistry Teachers, Postsecondary|20260|94060|79410
Environmental Science Teachers, Postsecondary|5440|92210|81980
Physics Teachers, Postsecondary|12460|99480|93070
Anthropology and Archeology Teachers, Postsecondary|5010|102110|97340
Area, Ethnic, and Cultural Studies Teachers, Postsecondary|9040|91680|78910
Economics Teachers, Postsecondary|11790|124090|104940
Geography Teachers, Postsecondary|3440|88150|81440
Political Science Teachers, Postsecondary|14060|98980|81980
Psychology Teachers, Postsecondary|36060|88390|77860
Sociology Teachers, Postsecondary|12550|87850|77980
Social Sciences Teachers, Postsecondary, All Other|16140|87320|77500
Health Specialties Teachers, Postsecondary|191830|133310|102720
Nursing Instructors and Teachers, Postsecondary|68060|82040|77440
Education Teachers, Postsecondary|58780|76990|63910
Library Science Teachers, Postsecondary|4330|80850|77100
Criminal Justice and Law Enforcement Teachers, Postsecondary|13790|81730|64600
Law Teachers, Postsecondary|14110|130820|123470
Social Work Teachers, Postsecondary|12280|77650|71010
Art, Drama, and Music Teachers, Postsecondary|94720|86240|75940
Communications Teachers, Postsecondary|27330|84580|77560
English Language and Literature Teachers, Postsecondary|58480|82680|75930
Foreign Language and Literature Teachers, Postsecondary|19640|82990|77030
History Teachers, Postsecondary|18590|86460|78130
Philosophy and Religion Teachers, Postsecondary|20850|88260|77610
Family and Consumer Sciences Teachers, Postsecondary|2730|93230|79630
Recreation and Fitness Studies Teachers, Postsecondary|13860|79080|72440
Career/Technical Education Teachers, Postsecondary|105440|63130|59840
Postsecondary Teachers, All Other|199020|92200|78160
Preschool Teachers, Except Special Education|391670|36460|30210
Kindergarten Teachers, Except Special Education|120730|64490|60900
Elementary School Teachers, Except Special Education|1329280|67080|61400
Middle School Teachers, Except Special and Career/Technical Education|592000|66880|61320
Career/Technical Education Teachers, Middle School|11840|69410|61820
Secondary School Teachers, Except Special and Career/Technical Education|1020240|69530|61820
Career/Technical Education Teachers, Secondary School|84360|68960|61820
Special Education Teachers, Preschool|21130|71970|62420
Special Education Teachers, Kindergarten and Elementary School|187070|67090|61640
Special Education Teachers, Middle School|79070|68860|61820
Special Education Teachers, Secondary School|145690|70100|62120
Special Education Teachers, All Other|38000|71330|61720
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors|38260|60650|59720
Self-Enrichment Teachers|216910|49230|43580
Substitute Teachers, Short-Term|374620|38410|30100
Tutors|147100|41780|36470
Teachers and Instructors, All Other|164650|62200|50540
Archivists|6120|61880|60050
Curators|11030|63880|60110
Museum Technicians and Conservators|10960|52030|47630
Librarians and Media Collections Specialists|127790|64180|61190
Library Technicians|73000|39070|36970
Farm and Home Management Educators|10620|58040|49990
Instructional Coordinators|184740|70560|63740
Teaching Assistants, Postsecondary|121290|41170|38040
Teaching Assistants, Except Postsecondary|1187270|31760|29360
Educational Instruction and Library Workers, All Other|155950|49650|46300
Art Directors|42080|115430|100890
Craft Artists|3740|40730|35930
Fine Artists, Including Painters, Sculptors, and Illustrators|9430|69010|60820
Special Effects Artists and Animators|20430|86220|78790
Artists and Related Workers, All Other|7390|67240|61580
Commercial and Industrial Designers|27940|79680|77030
Fashion Designers|19310|83650|77450
Floral Designers|36000|32100|29880
Graphic Designers|204040|59970|50710
Interior Designers|61970|62570|60340
Merchandise Displayers and Window Trimmers|159790|35520|32060
Set and Exhibit Designers|6850|62960|54860
Designers, All Other|10190|73480|62310
Producers and Directors|138250|101950|79000
Athletes and Sports Competitors|12320|116930|77300
Coaches and Scouts|193740|50550|38970
Umpires, Referees, and Other Sports Officials|9620|51710|35860
Choreographers|3990|49630|42700
Music Directors and Composers|9560|65080|49130
Broadcast Announcers and Radio Disc Jockeys|24580|56110|37630
News Analysts, Reporters, and Journalists|39080|63230|48370
Public Relations Specialists|242710|73250|62800
Editors|88780|76400|63350
Technical Writers|47620|81470|78060
Writers and Authors|49410|81120|69510
Interpreters and Translators|52170|58400|49110
Court Reporters and Simultaneous Captioners|12300|65240|60380
Media and Communication Workers, All Other|16540|59400|49900
Audio and Video Technicians|50590|55310|48820
Broadcast Technicians|25270|51280|44740
Sound Engineering Technicians|10800|67360|60500
Lighting Technicians|4280|58020|51470
Photographers|38420|48210|38950
Camera Operators, Television, Video, and Film|20280|61740|49230
Film and Video Editors|28030|76000|62680
Media and Communication Equipment Workers, All Other|16670|69290|63250
Chiropractors|35810|81240|75000
Dentists, General|108680|167160|160370
Prosthodontists|790|143730|100950
Dentists, All Other Specialists|4750|179400|175160
Dietitians and Nutritionists|66690|65620|61650
Optometrists|38720|125440|124300
Pharmacists|312550|125690|128570
Physician Assistants|132940|119460|121530
Podiatrists|8840|158380|145840
Occupational Therapists|127830|89470|85570
Physical Therapists|225350|92920|95620
Radiation Therapists|16050|94000|82790
Recreational Therapists|16980|53900|47940
Respiratory Therapists|133410|68190|61830
Speech-Language Pathologists|147470|85820|79060
Exercise Physiologists|6860|54030|47940
Therapists, All Other|13490|65030|59500
Veterinarians|77260|109920|100370
Registered Nurses|3047530|82750|77600
Nurse Anesthetists|43950|202470|195610
Nurse Midwives|7750|114210|112830
Nurse Practitioners|234690|118040|120680
Audiologists|13240|86050|78950
Pediatricians, General|33620|198420|170480
Acupuncturists|7250|71770|60570
Dental Hygienists|207190|81360|77810
Healthcare Diagnosing or Treating Practitioners, All Other|26250|113230|100300
Clinical Laboratory Technologists and Technicians|318780|56910|57800
Cardiovascular Technologists and Technicians|55760|62020|60570
Diagnostic Medical Sonographers|78640|80680|77740
Nuclear Medicine Technologists|17140|84850|78760
Radiologic Technologists and Technicians|216380|66490|61370
Magnetic Resonance Imaging Technologists|38070|77820|77360
Medical Dosimetrists|2400|124750|127270
Emergency Medical Technicians|161400|36690|35470
Paramedics|96510|49500|46770
Dietetic Technicians|21610|34160|29520
Pharmacy Technicians|436630|37970|36740
Psychiatric Technicians|93410|38000|36570
Surgical Technologists|109060|53590|48530
Veterinary Technologists and Technicians|118670|38250|36850
Ophthalmic Medical Technicians|65700|41120|37180
Licensed Practical and Licensed Vocational Nurses|641240|51850|48070
Medical Records Specialists|180570|48310|46660
Opticians, Dispensing|73270|43060|37570
Orthotists and Prosthetists|10410|79820|75440
Hearing Aid Specialists|10790|59960|59500
Health Technologists and Technicians, All Other|140770|49230|45720
Health Information Technologists and Medical Registrars|37900|61410|55560
Athletic Trainers|26070|54650|48420
Genetic Counselors|2740|86640|80150
Surgical Assistants|17250|59170|48320
Healthcare Practitioners and Technical Workers, All Other|44100|64880|58750
Home Health and Personal Care Aides|3366480|29260|29430
Nursing Assistants|1314830|33250|30310
Orderlies|45160|33440|29990
Psychiatric Aides|39140|34640|30260
Occupational Therapy Assistants|41980|63560|61730
Occupational Therapy Aides|3370|39230|33560
Physical Therapist Assistants|93660|60740|61180
Physical Therapist Aides|42390|30370|29200
Massage Therapists|81030|49260|46910
Dental Assistants|347170|42510|38660
Medical Assistants|727760|38190|37190
Medical Equipment Preparers|61170|42420|38220
Medical Transcriptionists|55830|34220|30100
Pharmacy Aides|43560|34560|29930
Veterinary Assistants and Laboratory Animal Caretakers|98970|31780|29780
Phlebotomists|132750|38450|37380
Healthcare Support Workers, All Other|108410|40690|37740
First-Line Supervisors of Correctional Officers|54470|69750|62220
First-Line Supervisors of Police and Detectives|128230|98760|99330
First-Line Supervisors of Firefighting and Prevention Workers|80890|83270|78230
First-Line Supervisors of Security Workers|55450|55080|50240
First-Line Supervisors of Protective Service Workers, All Other|23780|63910|61010
Firefighters|317310|55290|50700
Fire Inspectors and Investigators|14600|69680|64600
Forest Fire Inspectors and Prevention Specialists|2770|54340|42600
Bailiffs|16420|52340|48320
Correctional Officers and Jailers|392600|53420|47920
Detectives and Criminal Investigators|107890|90370|83640
Fish and Game Wardens|6730|58190|60730
Parking Enforcement Workers|7450|46050|46590
Police and Sheriff's Patrol Officers|665380|70750|64610
Transit and Railroad Police|3590|69570|64930
Animal Control Workers|11600|42620|39160
Private Detectives and Investigators|28860|60970|59380
Gambling Surveillance Officers and Gambling Investigators|9190|38080|35450
Security Guards|1057100|35830|31470
Crossing Guards and Flaggers|82690|35670|31450
Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers|114320|27320|25630
Transportation Security Screeners|48320|46380|45470
School Bus Monitors|55310|30220|29100
Protective Service Workers, All Other|100110|42160|38210
Chefs and Head Cooks|129810|56920|50160
First-Line Supervisors of Food Preparation and Serving Workers|1040600|39150|36570
Cooks, Fast Food|768130|25490|24180
Cooks, Institution and Cafeteria|392860|31520|29910
Cooks, Private Household|440|43260|42920
Cooks, Restaurant|1193860|31630|30010
Cooks, Short Order|124800|28110|28560
Cooks, All Other|18170|33390|30720
Food Preparation Workers|783350|28810|28780
Bartenders|485330|30340|26350
Fast Food and Counter Workers|3095120|26060|25100
Waiters and Waitresses|1804030|29010|26000
Food Servers, Nonrestaurant|243030|29500|28730
Dining Room and Cafeteria Attendants and Bartender Helpers|336970|27690|27170
Dishwashers|377040|27350|28130
Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop|324690|26000|24600
Food Preparation and Serving Related Workers, All Other|83240|28760|29120
First-Line Supervisors of Housekeeping and Janitorial Workers|153640|45100|39630
First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers|116380|53270|48800
Janitors and Cleaners, Except Maids and Housekeeping Cleaners|2036680|31860|29760
Maids and Housekeeping Cleaners|723430|29580|28780
Building Cleaning Workers, All Other|17350|38530|34350
Pest Control Workers|85370|40640|37540
Landscaping and Groundskeeping Workers|892450|35240|34430
Pesticide Handlers, Sprayers, and Applicators, Vegetation|25820|40500|38270
Tree Trimmers and Pruners|41920|47450|46970
Grounds Maintenance Workers, All Other|15770|39120|36540
First-Line Supervisors of Gambling Services Workers|19510|52590|49140
First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services|66860|47130|44870
First-Line Supervisors of Personal Service Workers|101030|45730|40390
